PiratesID,PlayerName,OrgCode,PrefPos,SplitTypeCode,RAA,RAA_635,AdjProd,ERA,IP,,
F8ECC5D4-B622-45D6-B54B-D0649398108F,"Lee, Dylan",ATL,LHR,EPSvsL,2.55016,20.50600465,1.27605,2.95313,20.06095,,
F8ECC5D4-B622-45D6-B54B-D0649398108F,"Lee, Dylan",ATL,LHR,EPS,2.99391,9.356090306,1.12595,3.39623,49.83893,,
CDEB605A-2D87-4388-B3FD-D2660FF98DDE,"Sommer, Tommy",BOC,LHR,EPSvsR,-1.20138,-97.16832589,0,0,2.13826,,
CDEB605A-2D87-4388-B3FD-D2660FF98DDE,"Sommer, Tommy",BOC,LHR,EPS,-1.23606,-91.88606288,0,0,1.48693,,
CDEB605A-2D87-4388-B3FD-D2660FF98DDE,"Sommer, Tommy",BOC,LHR,EPSvsL,-0.08981,-82.53162084,0,0,0,,
2D877BAE-5076-43BB-A7C9-0665759F7AEB,"Perdomo, Yaifer",NULL,LHR,EPSvsR,-0.07933,-65.5892999,0.11698,9,0.14377,,
2D877BAE-5076-43BB-A7C9-0665759F7AEB,"Perdomo, Yaifer",NULL,LHR,EPSvsL,-0.021,-57.4858818,0.2262,9,0.04792,,
2D877BAE-5076-43BB-A7C9-0665759F7AEB,"Perdomo, Yaifer",NULL,LHR,EPS,-0.10033,-63.70955,0.14232,9,0.1917,,
E3C9E193-4D23-4E32-BF4B-096A5E2A3D93,"Rice, Jake",ARI,LHR,EPSvsR,-0.37223,-43.57636546,0.41337,7.25373,1.13519,,
E3C9E193-4D23-4E32-BF4B-096A5E2A3D93,"Rice, Jake",ARI,LHR,EPS,-0.54686,-39.48770928,0.46841,6.87273,1.86374,,
E3C9E193-4D23-4E32-BF4B-096A5E2A3D93,"Rice, Jake",ARI,LHR,EPSvsL,-0.17463,-32.90652403,0.55701,6.27907,0.72855,,
790F01B4-8E8A-4BFB-B0F9-09DD1D10123F,"Zamora, Daniel",NULL,LHR,EPSvsR,-0.08867,-35.85489407,0.51733,6.49367,0.33781,,
790F01B4-8E8A-4BFB-B0F9-09DD1D10123F,"Zamora, Daniel",NULL,LHR,EPSvsL,-0.03789,-30.34105096,0.59154,0,0.33333,,
790F01B4-8E8A-4BFB-B0F9-09DD1D10123F,"Zamora, Daniel",NULL,LHR,EPS,-0.13327,-35.8189002,0.51782,6.75,0.51136,,
C0524046-A583-42B3-9A2F-63D67A3FA469,"Churchill, Ian",TOR,LHR,EPSvsR,-0.07881,-44.56269312,0.40012,7.32203,0.2348,,
C0524046-A583-42B3-9A2F-63D67A3FA469,"Churchill, Ian",TOR,LHR,EPS,-0.12083,-41.26197224,0.44453,7.16326,0.39001,,
C0524046-A583-42B3-9A2F-63D67A3FA469,"Churchill, Ian",TOR,LHR,EPSvsL,-0.04202,-36.22905635,0.51224,6.92308,0.15521,,
990532C3-873E-46A0-AC98-64BAA9AECE07,"De La Cruz, Nicolas",BOS,LHR,EPSvsR,-0.13668,-119.1851252,0,14.625,0.12396,,
990532C3-873E-46A0-AC98-64BAA9AECE07,"De La Cruz, Nicolas",BOS,LHR,EPS,-0.18432,-117.0432,0,14.72727,0.17044,,
990532C3-873E-46A0-AC98-64BAA9AECE07,"De La Cruz, Nicolas",BOS,LHR,EPSvsL,-0.04764,-111.3002208,0,13.5,0.04648,,
B4BE9500-16D2-4AEA-963C-6562539EE94C,"Suzuki, Sora",NPB,LHR,EPS,4.46355,15.1569746,1.13285,3.64045,44.5,,
B4BE9500-16D2-4AEA-963C-6562539EE94C,"Suzuki, Sora",NPB,LHR,EPSvsL,1.58756,24.3769824,1.32416,3.55067,9.33333,,
B4BE9500-16D2-4AEA-963C-6562539EE94C,"Suzuki, Sora",NPB,LHR,EPSvsR,2.87598,12.53899832,1.16674,3.75965,33.33333,,
F176810C-6014-4282-A983-66A3CCD45A49,"De La Cruz, Felipe",NY,LHR,EPSvsR,-0.71812,-33.36241775,0.55087,6.45933,2.97729,,
F176810C-6014-4282-A983-66A3CCD45A49,"De La Cruz, Felipe",NY,LHR,EPSvsL,-0.29964,-33.67474475,0.54666,6.59302,1.2251,,
F176810C-6014-4282-A983-66A3CCD45A49,"De La Cruz, Felipe",NY,LHR,EPS,-1.01777,-33.45409563,0.54964,6.40678,4.20239,,
D51278C7-460E-4A0F-BEEB-66D32D276BB6,"Lopez, Jacob",TB,LHR,EPSvsR,-11.91052,-24.87783475,0.66509,5.7754,68.18551,,
D51278C7-460E-4A0F-BEEB-66D32D276BB6,"Lopez, Jacob",TB,LHR,EPSvsL,-2.95501,-13.9967732,0.81157,5.14286,30.62879,,
D51278C7-460E-4A0F-BEEB-66D32D276BB6,"Lopez, Jacob",TB,LHR,EPS,-14.86564,-21.54811887,0.70992,5.4797,98.8143,,
51919270-836A-45BE-A3C4-925EFA90A9F1,"Mujica, Pablo",NULL,LHR,EPSvsR,-0.11912,-81.27956331,0,11.57145,0.17862,,
51919270-836A-45BE-A3C4-925EFA90A9F1,"Mujica, Pablo",NULL,LHR,EPSvsL,-0.09482,-66.44379214,0.10553,0,0.33333,,
51919270-836A-45BE-A3C4-925EFA90A9F1,"Mujica, Pablo",NULL,LHR,EPS,-0.12638,-80.2513,0,11.57145,0.17861,,
234BDA84-E2C9-42D6-BC29-92D9D7F17A7A,"Uribe, Isaias",PIT,LHR,EPSvsL,-0.0332,-91.60909051,0,11.57143,0.0425,,
234BDA84-E2C9-42D6-BC29-92D9D7F17A7A,"Uribe, Isaias",PIT,LHR,EPSvsR,-0.13006,-107.2753842,0,13.29851,0.13558,,
234BDA84-E2C9-42D6-BC29-92D9D7F17A7A,"Uribe, Isaias",PIT,LHR,EPS,-0.16326,-103.6701,0,12.88637,0.17807,,
56D352FE-6DC8-47A6-A527-948B502D3914,"Matos, Alberluis",NULL,LHR,EPSvsL,-0.02361,-60.629044,0.18395,9,0.04858,,
56D352FE-6DC8-47A6-A527-948B502D3914,"Matos, Alberluis",NULL,LHR,EPSvsR,-0.09124,-76.97071952,0,9,0.14574,,
56D352FE-6DC8-47A6-A527-948B502D3914,"Matos, Alberluis",NULL,LHR,EPS,-0.11485,-72.92975,0.01825,9,0.19432,,
65EE5CF6-CBCB-4ACC-A794-9536DF3F7B77,"Sosa, Juan",NULL,LHR,EPSvsR,-0.16618,-123.473667,0,15.42858,0.14209,,
65EE5CF6-CBCB-4ACC-A794-9536DF3F7B77,"Sosa, Juan",NULL,LHR,EPSvsL,-0.02487,-108.6362386,0,16.19997,0.02537,,
65EE5CF6-CBCB-4ACC-A794-9536DF3F7B77,"Sosa, Juan",NULL,LHR,EPS,-0.19105,-121.31675,0,15.54545,0.16747,,
2B4EDEA0-F5D2-43D3-805B-95909768AF94,"Kerr, Raymond",ATL,LHR,EPSvsR,-2.25459,-13.63308109,0.81647,4.97368,24.08341,,
2B4EDEA0-F5D2-43D3-805B-95909768AF94,"Kerr, Raymond",ATL,LHR,EPSvsL,-0.67448,-6.199218047,0.91655,4.23529,16.16124,,
2B4EDEA0-F5D2-43D3-805B-95909768AF94,"Kerr, Raymond",ATL,LHR,EPS,-2.92909,-10.68320001,0.85618,4.67717,40.24465,,
78AC43FF-9758-450A-B038-966037840107,"Gonzalez, Jeremy",CWS,LHR,EPSvsR,-0.13499,-114.3738825,0,14.4,0.12836,,
78AC43FF-9758-450A-B038-966037840107,"Gonzalez, Jeremy",CWS,LHR,EPS,-0.1762,-111.887,0,14,0.17329,,
78AC43FF-9758-450A-B038-966037840107,"Gonzalez, Jeremy",CWS,LHR,EPSvsL,-0.04121,-104.4477928,0,12.85714,0.04493,,
85508C58-EF03-4113-8367-96987434E87B,"Rivas, Yancarlos",NULL,LHR,EPSvsL,-0.04947,-115.8142236,0,14.72726,0.04572,,
